run	rep	trueqtl	NotSig	Sig	analysis	TBV_PVE	RAND_PVE
7	rep7	TRUE	901	0	random	0.811814	0.928824
7	rep8	FALSE	44367	0	random	0.827883	0.929474
7	rep8	TRUE	888	0	random	0.827883	0.929474
7	rep9	FALSE	44616	1	random	0.82215	0.9252
7	rep9	TRUE	898	0	random	0.82215	0.9252
8	rep1	FALSE	44948	0	random	0.822673	0.931402
8	rep1	TRUE	450	0	random	0.822673	0.931402
8	rep10	FALSE	45039	2	random	0.833362	0.929171
8	rep10	TRUE	457	0	random	0.833362	0.929171
8	rep2	FALSE	45032	2	random	0.832826	0.930618
8	rep2	TRUE	454	0	random	0.832826	0.930618
8	rep3	FALSE	44959	0	random	0.834057	0.925492
8	rep3	TRUE	462	0	random	0.834057	0.925492
8	rep4	FALSE	45061	0	random	0.815919	0.929767
8	rep4	TRUE	450	0	random	0.815919	0.929767
8	rep5	FALSE	45512	0	random	0.831823	0.926962
8	rep5	TRUE	459	0	random	0.831823	0.926962
8	rep6	FALSE	44869	0	random	0.824635	0.926696
8	rep6	TRUE	455	0	random	0.824635	0.926696
8	rep7	FALSE	44464	0	random	0.840414	0.93276
8	rep7	TRUE	441	0	random	0.840414	0.93276
8	rep8	FALSE	44535	0	random	0.829964	0.932168
8	rep8	TRUE	448	0	random	0.829964	0.932168
8	rep9	FALSE	45106	0	random	0.831668	0.929951
8	rep9	TRUE	460	0	random	0.831668	0.929951
9	rep1	FALSE	45394	1	random	0.840442	0.924994
9	rep1	TRUE	181	0	random	0.840442	0.924994
9	rep10	FALSE	45208	0	random	0.844777	0.927397
9	rep10	TRUE	183	0	random	0.844777	0.927397
9	rep2	FALSE	45109	0	random	0.852441	0.929997
9	rep2	TRUE	176	0	random	0.852441	0.929997
9	rep3	FALSE	44849	0	random	0.834744	0.92762
9	rep3	TRUE	178	0	random	0.834744	0.92762
9	rep4	FALSE	44259	1	random	0.854471	0.928483
9	rep4	TRUE	181	0	random	0.854471	0.928483
9	rep5	FALSE	45188	0	random	0.849129	0.927463
9	rep5	TRUE	184	0	random	0.849129	0.927463
9	rep6	FALSE	45617	0	random	0.862625	0.928778
9	rep6	TRUE	183	0	random	0.862625	0.928778
9	rep7	FALSE	45453	1	random	0.847185	0.925918
9	rep7	TRUE	188	0	random	0.847185	0.925918
9	rep8	FALSE	45192	0	random	0.842332	0.926051
9	rep8	TRUE	171	0	random	0.842332	0.926051
9	rep9	FALSE	45178	0	random	0.836713	0.926083
9	rep9	TRUE	182	0	random	0.836713	0.926083
10	rep1	FALSE	45171	0	random	0.778199	0.917925
10	rep1	TRUE	940	0	random	0.778199	0.917925
10	rep10	FALSE	45470	0	random	0.785772	0.906938
10	rep10	TRUE	924	0	random	0.785772	0.906938
10	rep2	FALSE	45690	0	random	0.782627	0.902178
10	rep2	TRUE	929	0	random	0.782627	0.902178
10	rep3	FALSE	44731	2	random	0.786184	0.907026
10	rep3	TRUE	906	0	random	0.786184	0.907026
10	rep4	FALSE	44682	0	random	0.798415	0.917279
10	rep4	TRUE	900	0	random	0.798415	0.917279
10	rep5	FALSE	45283	0	random	0.779158	0.918163
10	rep5	TRUE	919	0	random	0.779158	0.918163
10	rep6	FALSE	45419	0	random	0.790916	0.912394
10	rep6	TRUE	927	0	random	0.790916	0.912394
10	rep7	FALSE	45053	0	random	0.794828	0.910781
10	rep7	TRUE	909	0	random	0.794828	0.910781
10	rep8	FALSE	45159	0	random	0.778906	0.912587
10	rep8	TRUE	915	0	random	0.778906	0.912587
10	rep9	FALSE	45506	1	random	0.782197	0.913044
10	rep9	TRUE	924	0	random	0.782197	0.913044
11	rep1	FALSE	45609	0	random	0.790329	0.914302
11	rep1	TRUE	453	0	random	0.790329	0.914302
11	rep10	FALSE	45552	0	random	0.792183	0.90492
11	rep10	TRUE	461	0	random	0.792183	0.90492
11	rep2	FALSE	45618	0	random	0.795698	0.91328
11	rep2	TRUE	460	0	random	0.795698	0.91328
11	rep3	FALSE	45291	0	random	0.779237	0.914153
11	rep3	TRUE	463	0	random	0.779237	0.914153
11	rep4	FALSE	45827	0	random	0.791147	0.90449
11	rep4	TRUE	454	0	random	0.791147	0.90449
11	rep5	FALSE	46247	0	random	0.778565	0.906672
11	rep5	TRUE	471	0	random	0.778565	0.906672
11	rep6	FALSE	45625	0	random	0.780751	0.90984
11	rep6	TRUE	465	0	random	0.780751	0.90984
11	rep7	FALSE	45353	3	random	0.799552	0.90888
11	rep7	TRUE	451	0	random	0.799552	0.90888
11	rep8	FALSE	45137	1	random	0.785747	0.919186
11	rep8	TRUE	456	0	random	0.785747	0.919186
11	rep9	FALSE	45486	0	random	0.797888	0.913617
11	rep9	TRUE	466	0	random	0.797888	0.913617
12	rep1	FALSE	45735	1	random	0.78642	0.910658
12	rep1	TRUE	181	0	random	0.78642	0.910658
12	rep10	FALSE	45572	0	random	0.788107	0.907034
12	rep10	TRUE	186	0	random	0.788107	0.907034
12	rep2	FALSE	46029	0	random	0.80562	0.92075
12	rep2	TRUE	179	0	random	0.80562	0.92075
12	rep3	FALSE	45585	0	random	0.807169	0.909747
12	rep3	TRUE	181	0	random	0.807169	0.909747
12	rep4	FALSE	45102	0	random	0.80932	0.917098
12	rep4	TRUE	184	0	random	0.80932	0.917098
12	rep5	FALSE	45821	0	random	0.798952	0.913353
12	rep5	TRUE	185	0	random	0.798952	0.913353
12	rep6	FALSE	46104	0	random	0.783987	0.913543
12	rep6	TRUE	186	0	random	0.783987	0.913543
12	rep7	FALSE	46098	0	random	0.802743	0.913673
12	rep7	TRUE	189	0	random	0.802743	0.913673
12	rep8	FALSE	45354	0	random	0.808939	0.914736
12	rep8	TRUE	178	0	random	0.808939	0.914736
12	rep9	FALSE	45499	0	random	0.790839	0.917438
12	rep9	TRUE	184	0	random	0.790839	0.917438
13	rep1	FALSE	44944	0	random	0.798768	0.924922
13	rep1	TRUE	932	0	random	0.798768	0.924922
13	rep10	FALSE	45434	0	random	0.786848	0.923389
13	rep10	TRUE	928	0	random	0.786848	0.923389
13	rep2	FALSE	45551	1	random	0.801653	0.917093
13	rep2	TRUE	928	0	random	0.801653	0.917093
13	rep3	FALSE	44706	1	random	0.797314	0.930055
13	rep3	TRUE	898	0	random	0.797314	0.930055
13	rep4	FALSE	44268	0	random	0.80019	0.926535
13	rep4	TRUE	894	0	random	0.80019	0.926535
13	rep5	FALSE	45466	0	random	0.798922	0.930966
13	rep5	TRUE	918	0	random	0.798922	0.930966
13	rep6	FALSE	45147	0	random	0.809431	0.925393
13	rep6	TRUE	920	0	random	0.809431	0.925393
13	rep7	FALSE	44709	3	random	0.799887	0.925978
13	rep7	TRUE	907	0	random	0.799887	0.925978
13	rep8	FALSE	44955	0	random	0.804056	0.923921
13	rep8	TRUE	906	0	random	0.804056	0.923921
13	rep9	FALSE	45428	1	random	0.803098	0.92468
13	rep9	TRUE	930	0	random	0.803098	0.92468
14	rep1	FALSE	45502	0	random	0.788083	0.9268
14	rep1	TRUE	447	0	random	0.788083	0.9268
14	rep10	FALSE	45658	0	random	0.813787	0.930416
14	rep10	TRUE	461	0	random	0.813787	0.930416
14	rep2	FALSE	45734	0	random	0.807784	0.924465
14	rep2	TRUE	459	0	random	0.807784	0.924465
14	rep3	FALSE	45387	1	random	0.806851	0.916816
14	rep3	TRUE	465	0	random	0.806851	0.916816
14	rep4	FALSE	45763	0	random	0.803472	0.921591
14	rep4	TRUE	460	0	random	0.803472	0.921591
14	rep5	FALSE	46082	0	random	0.803948	0.918125
14	rep5	TRUE	467	0	random	0.803948	0.918125
14	rep6	FALSE	45694	1	random	0.815393	0.925048
14	rep6	TRUE	462	0	random	0.815393	0.925048
14	rep7	FALSE	45361	0	random	0.806403	0.924049
14	rep7	TRUE	452	0	random	0.806403	0.924049
14	rep8	FALSE	45311	0	random	0.797564	0.928097
14	rep8	TRUE	454	0	random	0.797564	0.928097
14	rep9	FALSE	45775	0	random	0.807164	0.924994
14	rep9	TRUE	470	0	random	0.807164	0.924994
15	rep1	FALSE	45793	0	random	0.797695	0.928875
15	rep1	TRUE	184	0	random	0.797695	0.928875
15	rep10	FALSE	45909	0	random	0.806345	0.923733
15	rep10	TRUE	182	0	random	0.806345	0.923733
15	rep2	FALSE	45635	0	random	0.814886	0.92745
15	rep2	TRUE	175	0	random	0.814886	0.92745
15	rep3	FALSE	45432	0	random	0.812978	0.92141
15	rep3	TRUE	178	0	random	0.812978	0.92141
15	rep4	FALSE	45311	0	random	0.814879	0.9248
15	rep4	TRUE	184	0	random	0.814879	0.9248
15	rep5	FALSE	45817	0	random	0.816666	0.925787
15	rep5	TRUE	184	0	random	0.816666	0.925787
15	rep6	FALSE	46026	1	random	0.816913	0.924252
15	rep6	TRUE	188	0	random	0.816913	0.924252
15	rep7	FALSE	45828	1	random	0.822218	0.928047
15	rep7	TRUE	189	0	random	0.822218	0.928047
15	rep8	FALSE	45555	1	random	0.824591	0.922179
15	rep8	TRUE	178	0	random	0.824591	0.922179
15	rep9	FALSE	45897	0	random	0.804678	0.926766
15	rep9	TRUE	186	0	random	0.804678	0.926766
16	rep1	FALSE	45364	0	random	0.800905	0.918292
16	rep1	TRUE	936	0	random	0.800905	0.918292
16	rep10	FALSE	45445	0	random	0.785142	0.909746
16	rep10	TRUE	929	0	random	0.785142	0.909746
